,Unnamed: 0,id,last_scraped,source,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,27262,2024-12-25,city scrape,37177,within an hour,100%,100%,t,4,12,"['email', 'phone']",,37.98924,23.765,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Heating - split type ductless system"", ""Dishes and silverware"", ""Shower gel"", ""Hair dryer"", ""Refrigerator"", ""Other electric stove"", ""Essentials"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Drying rack for clothing"", ""Fast wifi \u2013 168 Mbps"", ""Hangers"", ""Crib"", ""Hot water"", ""Oven"", ""Keypad"", ""Laundromat nearby"", ""43 inch HDTV"", ""Microwave"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""AC - split type ductless system"", ""Shampoo"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Coffee maker""]",$131.00,1,1125,2,3,1125,1125,2.3,1125.0,20,50,80,355,29,5,0,4.86,4.89,4.9,4.86,4.97,4.75,4.71,00002433111,1,1,0,0,0.19
1,1,809874,2024-12-25,city scrape,4259738,within an hour,100%,96%,f,2,2,"['email', 'phone']",,37.96215,23.72179,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Host greets you"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Oven"", ""Stove"", ""Air conditioning"", ""Iron"", ""Shampoo"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Elevator"", ""Wifi""]",$108.00,4,90,4,4,1125,1125,4.0,1125.0,0,22,52,327,97,6,0,4.96,4.97,4.97,4.89,4.92,4.86,4.91,00001240742,1,1,0,0,0.68
2,2,866381,2024-12-25,city scrape,4551671,within a few hours,100%,97%,t,1,1,"['email', 'phone', 'work_email']",,37.95523,23.72443,Entire condo,Entire home/apt,3,1.0,1.0,1.0,"[""Coffee"", ""Dishes and silverware"", ""Washer"", ""Conditioner"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Drying rack for clothing"", ""Private entrance"", ""Hangers"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Stove"", ""Laundromat nearby"", ""Microwave"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Outdoor dining area"", ""Shampoo"", ""Coffee maker: espresso machine, french press"", ""Bathtub"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Board games"", ""Private patio or balcony"", ""Free parking on premises"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Fire extinguisher"", ""Elevator"", ""Wifi""]",$85.00,2,90,2,2,90,90,2.0,90.0,3,16,18,137,40,31,1,4.95,4.98,4.98,4.93,4.93,4.73,4.9,00002608390,1,1,0,0,0.28
3,3,886724,2024-12-25,city scrape,4700824,,,0%,f,1,1,['email'],"Athens, Attica, Greece",37.99745,23.73973,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Hangers"", ""Hot water"", ""Long term stays allowed"", ""Air conditioning"", ""Paid parking off premises"", ""Iron"", ""Shampoo"", ""Smoke alarm"", ""First aid kit"", ""Free street parking"", ""Kitchen"", ""Elevator"", ""TV with standard cable"", ""Wifi""]",$56.00,3,1125,3,3,1125,1125,3.0,1125.0,28,58,88,363,18,0,0,4.61,4.88,4.47,4.88,4.89,4.28,4.72,00000052101,1,1,0,0,0.14
4,4,896212,2024-12-25,city scrape,4777984,within an hour,95%,100%,t,29,50,"['email', 'phone']","Athens, Attica, Greece",37.98844,23.73845,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Shower gel"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Drying rack for clothing"", ""Ethernet connection"", ""Private entrance"", ""Hangers"", ""Garden view"", ""Hot water"", ""Books and reading material"", ""Stove"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Courtyard view"", ""Air conditioning"", ""Hammock"", ""Iron"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Window guards"", ""Outdoor dining area"", ""Shampoo"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Kitchen"", ""Body soap"", ""Fire extinguisher"", ""Wifi"", ""Coffee maker""]",$63.00,2,365,2,2,1125,1125,2.0,1125.0,13,21,21,21,515,49,2,4.95,4.94,4.96,4.97,4.93,4.82,4.93,00000206136,13,13,0,0,3.58
5,5,905315,2024-12-25,city scrape,4777984,within an hour,95%,100%,t,29,50,"['email', 'phone']","Athens, Greece",37.98841,23.73713,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Shower gel"", ""Children\u2019s books and toys"", ""Clothing storage: wardrobe and dresser"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Ethernet connection"", ""Crib - available upon request"", ""Baby safety gates"", ""Private entrance"", ""Hangers"", ""Freezer"", ""Garden view"", ""Hot water"", ""Books and reading material"", ""Stove"", ""Beach essentials"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Courtyard view"", ""Air conditioning"", ""Hammock"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""Window guards"", ""Outdoor dining area"", ""Shampoo"", ""Coffee maker: pour-over coffee"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Kitchen"", ""Body soap"", ""Fire extinguisher"", ""Portable fans"", ""Baby bath"", ""Wifi""]",$60.00,2,365,2,2,1125,1125,2.0,1125.0,20,23,23,23,503,46,3,4.93,4.94,4.98,4.97,4.94,4.81,4.91,00000206001,13,13,0,0,3.53
886,886,18250369,2024-12-25,city scrape,4777984,within an hour,95%,100%,t,29,50,"['email', 'phone']","Athina, Greece",37.97922,23.73662,Entire rental unit,Entire home/apt,7,2.0,3.0,4.0,"[""Host greets you"", ""Heating - split type ductless system"", ""Coffee"", ""Dishes and silverware"", ""Cleaning products"", ""Shower gel"", ""Central air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Portable heater"", ""Ethernet connection"", ""Private entrance"", ""Clothing storage"", ""Electric stove"", ""Pets allowed"", ""Hangers"", ""Freezer"", ""Crib"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""Shampoo"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Body soap"", ""Pack \u2019n play/Travel crib - available upon request"", ""32 inch HDTV with standard cable"", ""Fire extinguisher"", ""Elevator"", ""Portable fans"", ""Wifi"", ""Coffee maker""]",$102.00,2,365,2,5,30,1125,2.1,1082.9,25,26,53,328,326,38,1,4.75,4.81,4.78,4.89,4.91,4.88,4.75,00002014589,13,13,0,0,3.5
1207,1207,21650426,2024-12-25,city scrape,4777984,within an hour,95%,100%,t,29,50,"['email', 'phone']","Athina, Greece",37.98848,23.73261,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Cleaning products"", ""Shower gel"", ""Central air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Ceiling fan"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Ethernet connection"", ""Private entrance"", ""Electric stove"", ""Pets allowed"", ""Hangers"", ""Dryer"", ""Freezer"", ""Crib"", ""Hot water"", ""Oven"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""City skyline view"", ""Iron"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Free street parking"", ""32 inch HDTV"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Body soap"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",$96.00,2,365,2,2,1125,1125,2.0,1125.0,14,35,57,247,335,47,3,4.9,4.96,4.91,4.97,4.99,4.76,4.87,00001959360,13,13,0,0,3.87
1233,1233,21057863,2024-12-26,previous scrape,4777984,within an hour,95%,100%,t,29,50,"['email', 'phone']","Athina, Greece",37.96643158415319,23.726955011050343,Entire rental unit,Entire home/apt,6,,2.0,,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Crib - always at the listing"", ""Cleaning products"", ""Sea & Sun body soap"", ""Shower gel"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Central air conditioning"", ""Refrigerator"", ""Essentials"", ""Ceiling fan"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Portable heater"", ""Bidet"", ""Ethernet connection"", ""Private entrance"", ""Pets allowed"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Stove"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""Children's playroom"", ""Mini fridge"", ""Shampoo"", ""Bathtub"", ""Sound system with aux"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""Portable fans"", ""Wifi"", ""Coffee maker""]",,2,365,2,2,1125,1125,2.0,1125.0,0,0,0,0,271,45,0,4.8,4.82,4.71,4.92,4.92,4.95,4.82,00001993338,13,13,0,0,3.09
2772,2772,33881866,2024-12-26,previous scrape,4777984,within an hour,95%,100%,t,29,50,"['email', 'phone']","Athina, Greece",37.97704,23.72653,Entire rental unit,Entire home/apt,2,,1.0,,"[""Coffee"", ""Dishes and silverware"", ""Cleaning products"", ""Shower gel"", ""Central air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Bikes"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Ethernet connection"", ""Private entrance"", ""Pets allowed"", ""Hangers"", ""Freezer"", ""Crib"", ""Hot water"", ""Laundromat nearby"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""City skyline view"", ""Iron"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Outdoor dining area"", ""Shampoo"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Kitchen"", ""Pack \u2019n play/Travel crib - available upon request"", ""Fire extinguisher"", ""Elevator"", ""Portable fans"", ""Wifi"", ""Coffee maker""]",,2,19,2,2,1125,1125,2.0,1125.0,0,0,0,0,376,79,3,4.9,4.9,4.81,4.92,4.97,4.97,4.86,00002552013,13,13,0,0,5.46
